Afghanistan,2593368
Albania,10140
Algeria,3523
Andorra,7
Angola,9507
Anguilla,1
Antigua and Barbuda,53
Argentina,318
Armenia,11850
Australia,25
Austria,10
Azerbaijan,10521
Bahamas,215
Bahrain,347
Bangladesh,10867
Barbados,86
Belarus,4302
Belgium,75
Belize,45
Benin,340
Bermuda,0
Bhutan,23642
Bolivia (Plurinational State of),599
Bosnia and Herzegovina,21892
Botswana,237
Brazil,977
British Virgin Islands,0
Brunei Darussalam,1
Bulgaria,1648
Burkina Faso,1857
Burundi,72499
Cabo Verde,27
Cambodia,13071
Cameroon,10761
Canada,95
Cayman Islands,6
Central African Rep.,412041
Chad,48258
Chile,579
China,210730
"China, Hong Kong SAR",25
"China, Macao SAR",5
Colombia,360298
Comoros,581
"Congo, Republic of",14497
Cook Islands,1
Costa Rica,417
Côte d'Ivoire,71959
Croatia10,40126
Cuba,7502
Curaçao ,35
Cyprus11,10
Czech Rep.,1328
Dem. People's Rep. of Korea,1282
Dem. Rep. of the Congo,516770
Denmark,12
Djibouti,880
Dominica,38
Dominican Rep.,349
Ecuador,805
Egypt,15873
El Salvador,10965
Equatorial Guinea,174
Eritrea,363077
Estonia,339
Ethiopia,86861
Fiji,924
Finland,7
France,92
Gabon,172
Gambia,5134
Georgia,6732
Germany,176
Ghana,22149
Gibraltar,2
Greece,113
Grenada,324
Guadeloupe,0
Guatemala,7483
Guinea,15243
Guinea-Bissau,1307
Guyana,700
Haiti,37161
Holy See (the),0
Honduras,4159
Hungary,1267
Iceland,1
India,10433
Indonesia,14408
Iran (Islamic Rep. of),82170
Iraq12,369904
Ireland,10
Israel,971
Italy,67
Jamaica,1692
Japan,263
Jordan,1716
Kazakhstan,2212
Kenya,8556
Kiribati,3
Kuwait,994
Kyrgyzstan,2437
Lao People's Dem. Rep.,7482
Latvia,213
Lebanon,4272
Lesotho,17
Liberia,13575
Libya,4194
Liechtenstein,0
Lithuania,183
Luxembourg,2
Madagascar,281
Malawi,360
Malaysia,468
Maldives,36
Mali,139267
Malta,5
Marshall Islands,3
Mauritania,34114
Mauritius,94
Mexico,10666
Monaco,3
Mongolia,2146
Montenegro,604
Morocco,1532
Mozambique,58
Myanmar13,479001
Namibia,1253
Nepal,8563
Netherlands,68
New Zealand,17
Nicaragua,1587
Niger,738
Nigeria,90921
Niue,18
Norfolk Island,1
Norway,13
Oman,29
Pakistan,335915
Palau,1
Palestinian14,97235
Panama,89
Papua New Guinea,288
Paraguay,94
Peru,4343
Philippines,672
Poland,1310
Portugal,31
Qatar,21
Rep. of Korea,481
Rep. of Moldova,2242
Romania,1921
Russian Federation,72777
Rwanda15,79411
Saint Kitts and Nevis,22
Saint Lucia,922
Saint Vincent and the Grenadines,1736
Samoa,1
San Marino,1
Sao Tome and Principe,22
Saudi Arabia,630
Senegal,23118
Serbia and Kosovo (S/RES/1244 (1999)),46123
Seychelles,25
Sierra Leone,4997
Singapore,59
Sint Maarten (Dutch part),0
Slovakia,319
Slovenia,26
Solomon Islands,70
Somalia,1106068
South Africa,424
South Sudan16,616210
Spain,60
Sri Lanka17,121996
Sudan18,665954
Suriname,17
Swaziland,161
Sweden,18
Switzerland,19
Syrian Arab Rep.,3883585
Tajikistan,713
The former Yugoslav Republic of Macedonia,1768
Thailand,233
Tibetan,15069
Timor-Leste,13
Togo,9278
Tonga,22
Trinidad and Tobago,371
Tunisia,1486
Turkey,63975
Turkmenistan,486
Turks and Caicos Islands,15
Tuvalu,2
Uganda,7191
Ukraine,237636
United Arab Emirates,90
United Kingdom,141
United Rep. of Tanzania,857
United States of America19,4986
Uruguay,124
Uzbekistan,4796
Vanuatu,1
Venezuela (Bolivarian Rep. of),8009
Viet Nam20,313419
Wallis and Futuna Islands ,0
Western Sahara21,116482
Yemen,2628
Zambia,316
Zimbabwe,22494
Stateless,27403
Various/unknown,101181
Total,14380094
